loan_amount,sanction_amount,net_disbursement,processing_fee,gst,income,bank_balance_at_application,employment_status,marital_status,zipcode,residence_type,age,loan_purpose,installment_start_dt,disbursal_date,principal_outstanding,default,diff,pct,valid_loan,valid_gst,valid_net_disbursement,valid_principal_outstanding,valid_bank_balance
412864,311320,377949,3063.46,683.86,134637,71413,Unemployed,Married,51517,Parental,57,Home,2023-01-28,2022-12-28,114304,0,-1.05,0.06,False,False,False,False,True
477692,479631,78444,3936.44,236.5,11866,47352,Salaried,Divorced,63177,Owned,47,Car,2023-01-29,2022-12-29,139907,0,-0.01,0.84,False,False,True,False,True
469674,91671,431427,2089.95,776.19,29139,33961,Salaried,Married,61320,Parental,46,Education,2023-01-30,2022-12-30,61320,0,2.32,0.37,True,True,True,False,True
214336,87929,409578,4087.43,291.36,101072,35256,Salaried,Divorced,52907,Owned,26,Car,2023-01-31,2022-12-31,211303,0,0.21,0.95,True,False,True,True,True
486696,213837,390066,4597.89,350.91,10885,81257,Salaried,Divorced,16618,Parental,56,Business,2023-02-01,2023-01-01,14935,0,-1.97,0.17,False,False,True,False,True
248528,408214,478852,2929.61,845.11,147030,9730,Salaried,Single,24436,Owned,53,Car,2023-02-02,2023-01-02,57454,0,-0.23,0.35,False,False,False,False,True
131074,394715,414000,3228.18,257.43,136600,70657,Unemployed,Divorced,98017,Rented,49,Education,2023-02-03,2023-01-03,343605,0,0.17,0.09,False,False,True,False,True
302590,223347,478148,1168.39,478.81,81672,52793,Self-employed,Married,62574,Parental,43,Home,2023-02-04,2023-01-04,62364,0,0.66,0.18,False,True,True,False,False
135202,131392,263210,2948.87,846.73,47723,88711,Salaried,Married,14616,Rented,35,Home,2023-02-05,2023-01-05,267627,0,0.85,0.07,True,False,True,False,True
292850,310147,447672,3102.85,418.09,111093,36931,Unemployed,Single,80519,Owned,32,Car,2023-02-06,2023-01-06,375160,0,-1.01,0.72,False,False,False,False,True
372938,132091,215088,3566.13,423.81,25657,38579,Self-employed,Single,59133,Parental,25,Business,2023-02-07,2023-01-07,268922,0,1.54,0.59,False,True,True,False,False
373182,123804,260685,803.53,612.05,33827,66748,Unemployed,Single,94499,Parental,52,Home,2023-02-08,2023-01-08,203508,0,1.17,0.76,True,False,False,False,True
81184,223402,189779,4293.77,837.04,141903,65861,Self-employed,Single,70723,Parental,58,Education,2023-02-09,2023-01-09,269284,0,1.24,0.28,True,True,False,True,True
99418,315887,400515,2346.24,567.04,34645,58510,Self-employed,Divorced,75023,Parental,52,Car,2023-02-10,2023-01-10,36619,0,2.41,0.55,False,True,False,False,False
105550,198391,309201,4728.77,814.53,131911,35285,Unemployed,Divorced,13579,Owned,45,Car,2023-02-11,2023-01-11,267273,1,1.24,0.72,True,True,False,True,False
229842,402593,474195,1903.9,520.01,135930,92098,Unemployed,Married,77813,Parental,63,Home,2023-02-12,2023-01-12,252116,0,1.04,0.67,False,True,True,True,True
77376,217589,262475,4926.42,93.1,61258,4553,Self-employed,Single,75421,Rented,31,Home,2023-02-13,2023-01-13,316714,0,1.46,0.43,True,True,False,True,True
103995,66691,328992,3987.84,473.17,62044,73822,Unemployed,Divorced,68582,Rented,27,Home,2023-02-14,2023-01-14,134049,0,-1.32,0.77,False,True,False,True,False
160840,352995,111646,2021.08,667.87,145195,35146,Self-employed,Divorced,17829,Rented,42,Education,2023-02-15,2023-01-15,184926,1,-1.11,0.6,True,True,True,False,True
205146,151905,273021,3436.41,120.85,145396,45216,Salaried,Divorced,39508,Parental,32,Home,2023-02-16,2023-01-16,172155,0,-1.34,0.27,True,False,False,True,False
95634,197956,187865,3533.16,671.99,20131,96214,Self-employed,Single,23833,Parental,61,Education,2023-02-17,2023-01-17,185190,0,0.77,0.87,True,True,False,False,True
325836,403216,314649,2593.5,282.15,43900,98731,Self-employed,Divorced,62117,Parental,28,Business,2023-02-18,2023-01-18,280753,0,0.12,0.59,False,True,False,False,False
58958,64313,174094,566.65,220.22,55562,58666,Self-employed,Single,47013,Owned,44,Education,2023-02-19,2023-01-19,33517,0,-0.75,0.71,True,False,False,True,True
225490,496151,413587,1341.85,331.94,44522,23697,Unemployed,Divorced,68356,Rented,58,Car,2023-02-20,2023-01-20,337900,0,1.77,0.22,True,False,False,True,False
344920,147379,231343,878.08,289.14,49256,74386,Salaried,Married,79279,Parental,30,Car,2023-02-21,2023-01-21,155543,0,-0.13,0.38,False,False,True,False,True
296827,95931,63447,3436.43,655.42,127707,15816,Unemployed,Married,32507,Parental,31,Business,2023-02-22,2023-01-22,142213,1,-1.1,0.35,False,False,False,True,True
316925,452399,339996,4070.43,874.69,76537,44952,Salaried,Single,67750,Rented,38,Education,2023-02-23,2023-01-23,59,0,0.63,0.0,True,False,False,True,False
320499,278215,67214,4918.66,309.34,21774,78702,Salaried,Divorced,63799,Rented,50,Car,2023-02-24,2023-01-24,290481,0,0.49,0.39,False,False,False,False,False
175297,182855,55663,1289.51,880.26,113209,62748,Salaried,Divorced,68020,Parental,44,Business,2023-02-25,2023-01-25,38242,0,-0.44,0.82,False,True,False,True,False
175653,428909,85554,4668.11,170.41,73884,8204,Salaried,Single,10283,Owned,27,Home,2023-02-26,2023-01-26,25501,0,0.21,0.33,False,True,True,False,True
362563,304009,53064,1618.86,467.27,136486,15038,Salaried,Divorced,19736,Owned,27,Business,2023-02-27,2023-01-27,147081,0,-0.66,0.92,False,True,False,True,True
182217,301387,251229,691.96,501.94,71404,74158,Self-employed,Divorced,66160,Parental,48,Home,2023-02-28,2023-01-28,98334,0,1.23,0.05,True,True,False,False,False
334323,266030,331487,2772.16,430.82,121519,31807,Salaried,Divorced,17809,Parental,42,Car,2023-03-01,2023-01-29,318762,0,0.05,0.7,False,True,False,False,False
227229,54063,250696,1785.7,556.72,122272,97050,Salaried,Married,65606,Rented,51,Education,2023-03-02,2023-01-30,339025,1,-0.65,0.68,True,True,False,True,True
241861,282609,477866,1984.36,121.93,134664,38495,Unemployed,Single,18297,Rented,35,Car,2023-03-03,2023-01-31,250569,0,-0.56,0.09,False,True,False,False,False
375398,288292,329683,1845.77,533.31,91063,17921,Unemployed,Divorced,35973,Parental,42,Home,2023-03-04,2023-02-01,269277,0,-0.58,0.79,True,False,False,False,False
139324,488025,63794,2278.58,263.44,100865,46665,Salaried,Single,26853,Parental,55,Car,2023-03-05,2023-02-02,307628,0,1.48,0.89,False,True,False,False,True
295365,53765,185836,2375.84,409.34,47956,97224,Self-employed,Divorced,68714,Parental,32,Car,2023-03-06,2023-02-03,217735,0,-0.25,0.89,False,False,False,False,False
175322,245203,463936,2661.4,558.08,126119,97217,Self-employed,Single,80555,Owned,33,Home,2023-03-07,2023-02-04,317207,0,-0.04,0.51,False,False,True,False,False
139239,293006,200320,1834.79,105.35,122197,1197,Self-employed,Divorced,22107,Owned,60,Home,2023-03-08,2023-02-05,358981,0,0.78,0.28,True,False,False,False,True
421404,484672,282127,1252.94,642.79,40607,46626,Unemployed,Single,37697,Parental,39,Education,2023-03-09,2023-02-06,221514,0,0.8,0.05,True,True,True,False,False
458586,297001,236238,2428.93,693.67,131905,73849,Self-employed,Married,92227,Rented,47,Education,2023-03-10,2023-02-07,179968,0,-0.67,0.76,False,False,False,True,True
341814,106663,369223,3518.5,461.37,42062,22454,Unemployed,Married,99751,Rented,56,Education,2023-03-11,2023-02-08,151182,0,-0.33,0.1,False,False,True,False,False
476119,348061,333398,3495.9,275.18,134234,71791,Salaried,Divorced,34313,Parental,45,Home,2023-03-12,2023-02-09,176763,0,2.3,0.61,False,True,False,False,False
463559,169260,415661,3925.74,298.3,61944,53647,Salaried,Married,15050,Rented,60,Education,2023-03-13,2023-02-10,195649,0,0.91,0.14,True,False,False,True,False
490609,253367,283380,1823.46,566.85,52798,90378,Self-employed,Divorced,80719,Parental,63,Business,2023-03-14,2023-02-11,317622,0,0.12,0.36,False,True,False,False,False
161469,320031,457674,4317.07,876.71,141323,72764,Unemployed,Divorced,38168,Rented,57,Education,2023-03-15,2023-02-12,58463,0,0.73,0.5,True,False,False,True,True
338121,64481,90034,4616.86,533.14,57823,18180,Self-employed,Married,75630,Owned,50,Car,2023-03-16,2023-02-13,244868,0,2.14,0.48,False,True,True,True,True
91853,491282,41263,2543.81,346.75,113028,79753,Unemployed,Married,14371,Owned,21,Education,2023-03-17,2023-02-14,377102,0,0.03,0.43,False,True,True,True,False
64968,432799,74818,595.33,662.66,86148,39827,Self-employed,Single,53846,Owned,56,Car,2023-03-18,2023-02-15,134231,0,1.25,0.31,False,True,True,False,True
421350,340517,131698,2455.65,731.2,101500,44584,Unemployed,Divorced,56888,Rented,58,Home,2023-03-19,2023-02-16,93977,0,0.8,0.41,False,False,True,True,False
353967,195519,125858,2387.99,661.46,21983,36793,Unemployed,Divorced,72394,Rented,46,Car,2023-03-20,2023-02-17,153497,0,-0.93,0.31,True,False,False,True,True
218037,487399,76002,844.07,652.7,85522,22043,Unemployed,Divorced,47340,Parental,26,Business,2023-03-21,2023-02-18,15,1,0.69,0.57,False,False,False,False,True
230117,109023,63926,3495.6,358.14,41275,34793,Unemployed,Married,81920,Owned,35,Home,2023-03-22,2023-02-19,115898,1,-0.43,0.83,True,False,True,False,True
246827,207621,314384,4919.25,677.22,113759,88995,Self-employed,Married,61540,Parental,46,Business,2023-03-23,2023-02-20,325724,0,0.98,0.31,False,True,False,True,True
250055,235371,192008,4129.15,798.4,23380,38423,Self-employed,Divorced,51401,Owned,51,Home,2023-03-24,2023-02-21,397826,0,0.59,0.29,False,True,True,True,True
72325,383919,387320,1061.37,807.49,25074,55211,Salaried,Divorced,62792,Parental,43,Car,2023-03-25,2023-02-22,213107,0,-0.12,0.24,True,True,True,True,True
79083,319894,436006,989.37,115.92,16067,29486,Self-employed,Single,19515,Rented,62,Business,2023-03-26,2023-02-23,56594,0,-0.53,0.22,False,False,False,True,False
355465,160810,109696,2459.98,367.1,45670,99509,Self-employed,Divorced,64150,Parental,59,Business,2023-03-27,2023-02-24,136910,1,-0.11,0.92,False,True,False,True,False
255107,241506,361566,3407.22,727.04,88391,95147,Unemployed,Divorced,97807,Rented,45,Car,2023-03-28,2023-02-25,200009,0,1.29,0.12,True,True,True,True,True
353048,419276,375079,3020.84,654.75,82384,68170,Salaried,Divorced,28018,Owned,64,Car,2023-03-29,2023-02-26,367045,0,-0.44,0.48,False,True,True,False,False
379002,270490,84116,2751.85,392.03,139501,2477,Salaried,Single,67978,Rented,64,Education,2023-03-30,2023-02-27,125216,0,1.37,0.15,True,True,False,True,False
356404,413606,471568,4299.23,573.29,15605,84179,Self-employed,Divorced,28567,Rented,56,Education,2023-03-31,2023-02-28,82845,0,-2.16,0.83,True,True,True,True,False
82425,131812,50591,4147.62,513.26,68673,94148,Self-employed,Married,70186,Parental,63,Car,2023-04-01,2023-03-01,212374,0,1.81,0.11,False,True,False,False,True
163090,469860,399718,3050.07,176.69,123837,54801,Salaried,Married,72576,Parental,27,Education,2023-04-02,2023-03-02,274703,0,1.42,0.7,False,True,True,True,True
389381,101598,408674,2699.5,561.72,142437,84455,Unemployed,Single,57791,Owned,35,Business,2023-04-03,2023-03-03,91960,0,-1.02,0.24,False,False,True,False,False
391038,190837,180179,561.25,782.2,120049,13936,Unemployed,Single,31504,Owned,54,Car,2023-04-04,2023-03-04,153028,0,-0.98,0.72,True,True,False,True,False
189155,418244,362607,1268.39,475.58,74146,58167,Self-employed,Divorced,64505,Owned,24,Business,2023-04-05,2023-03-05,277953,0,0.39,0.94,True,False,False,False,False
74268,188230,351717,3916.79,742.31,146104,33675,Salaried,Married,83173,Rented,37,Education,2023-04-06,2023-03-06,151628,0,-1.24,0.03,False,True,False,True,False
206458,77926,347941,3897.32,780.43,97075,62480,Self-employed,Divorced,59020,Parental,24,Home,2023-04-07,2023-03-07,228801,1,-2.17,0.24,True,False,False,False,False
79296,141652,324142,4849.17,474.63,62886,50601,Unemployed,Divorced,15484,Parental,48,Education,2023-04-08,2023-03-08,303548,0,0.66,0.26,False,True,False,False,True
221712,303156,455051,2529.26,632.97,98179,51315,Self-employed,Divorced,23943,Owned,52,Car,2023-04-09,2023-03-09,305120,0,-0.98,0.46,True,True,True,True,False
405441,462950,178345,2176.1,414.74,59783,44444,Self-employed,Married,69932,Owned,30,Home,2023-04-10,2023-03-10,257480,0,-0.58,0.69,False,True,True,True,True
282161,285948,99133,1109.76,779.33,98254,75200,Salaried,Married,41382,Owned,29,Car,2023-04-11,2023-03-11,154396,0,-0.18,0.72,True,False,False,False,False
212549,149448,214025,4990.38,326.94,139649,34415,Salaried,Single,98468,Owned,34,Car,2023-04-12,2023-03-12,159862,0,-1.45,0.04,False,False,False,False,True
52590,171922,323277,1774.59,156.16,145969,66866,Unemployed,Married,48846,Owned,49,Business,2023-04-13,2023-03-13,291444,0,-0.3,0.91,True,True,True,False,True
246959,158285,416621,4201.94,822.78,88768,21266,Self-employed,Divorced,99775,Owned,60,Home,2023-04-14,2023-03-14,220038,0,-0.23,0.73,False,False,False,False,True
300416,64512,52030,3496.61,186.09,101010,61998,Self-employed,Divorced,76287,Owned,43,Education,2023-04-15,2023-03-15,227315,0,0.78,0.68,False,True,False,False,False
460851,383328,338271,3734.56,366.14,36156,69883,Salaried,Divorced,12312,Parental,36,Home,2023-04-16,2023-03-16,37535,0,-0.42,0.0,True,True,True,False,True
495268,206313,397555,2743.96,779.04,140251,25925,Self-employed,Divorced,92769,Owned,50,Home,2023-04-17,2023-03-17,212377,0,-1.13,0.96,False,True,True,True,True
404032,249695,58690,4717.4,231.51,10650,46881,Self-employed,Married,67327,Parental,48,Education,2023-04-18,2023-03-18,245767,0,-0.9,0.79,False,False,False,False,True
77955,173817,280861,2187.91,776.11,14478,90037,Self-employed,Divorced,56764,Parental,60,Business,2023-04-19,2023-03-19,326320,0,-0.54,0.67,True,True,True,False,True
376476,493861,96131,3057.06,771.85,92569,50187,Self-employed,Married,82303,Parental,21,Home,2023-04-20,2023-03-20,300969,0,0.18,0.54,True,False,True,True,True
138686,58922,161679,3562.78,581.59,77870,95661,Self-employed,Single,95833,Rented,52,Education,2023-04-21,2023-03-21,29361,0,1.21,0.9,True,True,False,False,False
295854,198966,70227,4834.09,153.3,144391,24343,Salaried,Divorced,63580,Owned,28,Business,2023-04-22,2023-03-22,266564,0,-1.22,0.7,True,False,True,True,False
206718,83803,229769,1288.45,134.59,112874,12560,Salaried,Single,94153,Rented,43,Car,2023-04-23,2023-03-23,155402,0,-1.16,0.68,True,True,False,False,False
253849,475611,271026,2518.69,140.27,128525,19025,Self-employed,Married,44760,Parental,45,Home,2023-04-24,2023-03-24,365220,0,-1.45,0.83,True,False,False,True,True
326951,297154,89137,3794.32,775.82,61256,86501,Unemployed,Single,97009,Owned,51,Car,2023-04-25,2023-03-25,37815,0,-0.56,0.21,True,True,False,False,True
219905,485114,410236,4873.53,894.82,114910,14894,Salaried,Single,81885,Parental,24,Home,2023-04-26,2023-03-26,125887,1,-0.57,0.94,True,True,False,True,False
300224,273133,80160,2729.57,262.06,58281,98601,Unemployed,Married,17748,Owned,49,Business,2023-04-27,2023-03-27,244459,0,-1.17,0.22,False,True,True,True,True
488230,169678,355251,1148.84,664.49,10109,15588,Salaried,Divorced,80886,Rented,58,Education,2023-04-28,2023-03-28,270486,0,1.05,0.07,False,True,True,True,True
278190,400172,365083,3069.86,883.31,65146,88737,Unemployed,Divorced,16857,Parental,28,Business,2023-04-29,2023-03-29,38711,0,0.53,0.24,False,False,False,False,False
173560,154981,116239,577.05,827.12,92112,53475,Unemployed,Divorced,53128,Parental,29,Education,2023-04-30,2023-03-30,33184,1,-1.2,0.85,True,True,False,False,False
346765,397116,454766,2914.95,95.78,15188,82903,Unemployed,Married,38991,Owned,39,Education,2023-05-01,2023-03-31,320988,0,-0.29,0.76,True,True,False,True,False
258742,408302,104790,1685.98,262.47,102447,5420,Unemployed,Married,55613,Owned,41,Home,2023-05-02,2023-04-01,82469,0,-0.83,0.01,True,False,False,True,False
203019,396930,103747,736.5,417.48,66144,78761,Unemployed,Single,48088,Parental,25,Car,2023-05-03,2023-04-02,225757,0,0.55,0.65,False,True,False,False,True
123604,56099,384956,2239.31,671.85,61482,26142,Salaried,Married,50482,Owned,24,Education,2023-05-04,2023-04-03,78012,0,-0.81,0.47,True,False,False,False,True
378618,344357,376207,4672.42,736.01,62928,83080,Self-employed,Divorced,99320,Parental,55,Education,2023-05-05,2023-04-04,216326,0,-0.05,0.36,False,False,True,False,True
266310,283147,159639,4641.52,750.83,149843,10520,Unemployed,Married,46861,Parental,39,Education,2023-05-06,2023-04-05,162459,0,0.07,0.85,False,False,True,True,True
236937,196751,313521,2921.55,313.93,115252,74557,Salaried,Single,23183,Parental,64,Home,2023-05-07,2023-04-06,209770,0,-1.12,0.3,True,True,True,True,True
380987,54634,91092,970.68,795.54,125763,2090,Salaried,Married,64188,Rented,35,Home,2023-05-08,2023-04-07,195421,1,0.66,0.3,False,True,False,False,False
175745,117933,434238,4512.14,672.09,128646,30363,Self-employed,Divorced,71834,Parental,23,Home,2023-05-09,2023-04-08,45671,0,-0.88,0.34,True,False,True,True,False
195036,409206,428899,4849.64,575.47,86054,58159,Unemployed,Divorced,97742,Owned,32,Home,2023-05-10,2023-04-09,203551,1,0.82,0.49,True,True,False,False,False
331323,159360,447696,2161.5,333.0,34140,3258,Unemployed,Single,16803,Parental,29,Home,2023-05-11,2023-04-10,313754,0,-0.28,0.5,False,False,True,False,False
309059,306574,280734,4182.22,535.72,147381,16877,Self-employed,Divorced,14765,Rented,61,Home,2023-05-12,2023-04-11,271312,0,-0.58,1.0,False,True,True,True,False
289668,280706,96539,4934.05,499.27,81101,56173,Unemployed,Single,50262,Parental,33,Education,2023-05-13,2023-04-12,282856,0,-0.45,0.76,False,True,False,False,False
358799,432727,365358,3388.8,826.5,92937,75095,Unemployed,Divorced,30499,Owned,51,Home,2023-05-14,2023-04-13,368918,0,-1.15,0.85,False,True,True,False,False
344259,409637,140462,1472.12,596.75,112463,24866,Unemployed,Divorced,49229,Rented,21,Education,2023-05-15,2023-04-14,92412,0,0.3,0.14,False,True,True,True,False
331383,140719,137054,1454.82,108.48,108013,56814,Salaried,Married,16307,Owned,51,Home,2023-05-16,2023-04-15,390064,0,-0.41,0.16,True,True,False,True,True
498934,152342,388297,3251.57,846.79,136659,52592,Self-employed,Single,96079,Owned,64,Home,2023-05-17,2023-04-16,274708,0,-0.17,0.33,True,True,False,True,True
132614,244609,326978,4398.4,185.35,60523,9797,Salaried,Single,70202,Rented,52,Business,2023-05-18,2023-04-17,119436,0,-1.99,0.03,True,False,True,True,True
133210,421182,146034,4371.69,275.25,124751,77149,Unemployed,Divorced,70446,Rented,62,Home,2023-05-19,2023-04-18,393457,0,-0.48,0.24,True,True,True,True,False
82587,382498,370738,4903.96,612.17,95206,61992,Self-employed,Single,70049,Rented,59,Car,2023-05-20,2023-04-19,245732,0,-1.04,0.39,True,True,False,True,False
374113,196301,98701,880.16,808.21,118312,37422,Salaried,Divorced,77683,Parental,36,Home,2023-05-21,2023-04-20,82549,0,0.07,0.73,True,False,True,False,True
276406,362420,295556,1758.8,872.58,34587,64697,Salaried,Single,79816,Rented,46,Education,2023-05-22,2023-04-21,299017,0,-0.68,0.7,True,True,False,True,False
211618,155367,182177,4691.02,527.26,50220,45899,Salaried,Divorced,50263,Parental,56,Home,2023-05-23,2023-04-22,221319,0,-0.82,0.16,True,True,True,False,False
476684,416727,70113,2026.06,758.85,53602,36708,Unemployed,Divorced,78613,Parental,23,Home,2023-05-24,2023-04-23,223087,1,-1.03,0.39,False,True,True,True,False
225008,140435,187236,3146.13,203.51,132217,42383,Self-employed,Divorced,54906,Rented,44,Car,2023-05-25,2023-04-24,97063,0,0.28,0.49,True,False,True,True,False
417279,499850,236381,4289.75,673.91,89726,11299,Unemployed,Divorced,25131,Rented,55,Home,2023-05-26,2023-04-25,256414,0,-2.85,0.68,False,True,True,False,False
292736,276614,160375,3180.56,801.6,81964,89677,Salaried,Single,68068,Rented,40,Education,2023-05-27,2023-04-26,57427,0,0.84,0.38,False,False,True,True,True
106267,386258,127695,3479.49,797.84,38930,89145,Self-employed,Divorced,46932,Owned,42,Business,2023-05-28,2023-04-27,45560,0,2.65,0.4,True,True,True,True,True
195830,62214,259705,2234.48,315.91,19108,32021,Self-employed,Divorced,87314,Owned,64,Education,2023-05-29,2023-04-28,120135,0,0.34,0.27,True,True,False,False,False
76329,314530,122902,1262.99,524.42,14959,75609,Unemployed,Single,98429,Rented,22,Home,2023-05-30,2023-04-29,247797,1,0.79,0.53,True,True,True,True,False
297213,254422,218609,1455.42,631.91,44060,68234,Unemployed,Divorced,17147,Rented,57,Home,2023-05-31,2023-04-30,47450,0,1.35,0.56,True,False,False,False,False
236553,426754,322846,4407.38,644.52,91153,32422,Unemployed,Divorced,98149,Owned,40,Education,2023-06-01,2023-05-01,309218,0,-1.34,0.34,True,True,False,False,True
361873,396188,381923,4831.75,694.37,44545,58940,Salaried,Divorced,38209,Owned,28,Car,2023-06-02,2023-05-02,292371,0,-0.77,0.27,True,True,False,True,True
191524,194629,88691,4673.71,459.4,140064,38320,Self-employed,Divorced,13719,Parental,61,Car,2023-06-03,2023-05-03,263173,0,2.05,0.35,False,True,False,True,True
319361,136237,266727,3044.11,885.65,20469,48848,Unemployed,Divorced,30648,Parental,33,Car,2023-06-04,2023-05-04,91799,0,-0.58,0.77,False,False,True,False,True
363898,58929,365494,3533.53,259.02,145305,67056,Unemployed,Single,11029,Owned,31,Education,2023-06-05,2023-05-05,390723,0,0.63,0.02,False,True,True,True,False
189925,381093,349034,2335.35,423.37,108416,95369,Salaried,Divorced,97337,Rented,61,Home,2023-06-06,2023-05-06,297207,0,-0.14,0.43,False,True,False,False,True
408840,246100,283583,3133.47,841.84,52628,57591,Unemployed,Married,85398,Parental,28,Business,2023-06-07,2023-05-07,133501,0,-2.14,0.08,False,True,True,False,True
393879,191903,257430,4285.74,545.73,11838,84003,Self-employed,Divorced,66579,Owned,42,Education,2023-06-08,2023-05-08,93010,0,0.01,0.41,False,False,False,True,False
231928,93648,256657,1344.96,469.83,137029,14236,Salaried,Divorced,28375,Rented,59,Education,2023-06-09,2023-05-09,384159,0,-0.44,0.38,True,True,True,False,False
309329,367767,252628,3963.45,480.07,125399,26346,Self-employed,Single,50413,Rented,61,Home,2023-06-10,2023-05-10,246908,0,0.55,0.75,False,True,True,True,False
100776,128394,82894,4692.93,586.81,53400,68132,Salaried,Married,30561,Rented,27,Education,2023-06-11,2023-05-11,192239,1,-1.31,0.38,True,False,False,False,False
184280,377752,44877,559.36,566.93,35845,52360,Unemployed,Single,84890,Rented,58,Education,2023-06-12,2023-05-12,365450,0,1.54,0.25,True,False,True,True,True
132963,57660,139178,4073.1,660.42,42372,33244,Unemployed,Single,27115,Parental,34,Education,2023-06-13,2023-05-13,212788,0,0.64,0.94,True,False,True,False,True
171945,416124,158515,2982.49,410.04,32661,85725,Salaried,Single,42591,Owned,62,Car,2023-06-14,2023-05-14,334324,0,-0.31,0.54,True,True,True,False,False
